ID,Predicted_Power
1,0.21026755267999994
2,0.19608021935999997
3,0.1756292193466667
4,0.1621318859999999
5,0.20251088599999986
6,0.19609221933333312
7,0.15384888601333338
8,0.08876621933333344
9,0.251326886
10,0.3083648860133335
11,0.6269432193333331
12,0.628110219333333
13,0.5815842193333325
14,0.4242658859999995
15,0.3534712193333331
16,0.5086975526666666
17,0.5868808860000001
18,0.5726472193333331
19,0.5424122193333335
20,0.4210868859999997
21,0.3307182193799998
22,0.35728821935999966
23,0.5010168859999999
24,0.5806858860000009
25,0.23213655266666686
26,0.2752475526666667
27,0.4699378860533333
28,0.562788552666667
29,0.5677875526800005
30,0.5294765526666669
31,0.37135421933333307
32,0.2323785526666666
33,0.15976621933333354
34,0.16561921933333332
35,0.13600255268000003
36,0.1300965526933332
37,0.1487162193333333
38,0.15104221934666667
39,0.1558005527066667
40,0.15737588602666666
41,0.180556886
42,0.17369588601333336
43,0.1585462193466666
44,0.18423621935999995
45,0.18408288601333342
46,0.1682822193333334
47,0.20968321934666664
48,0.1865322193333334
49,0.1781798859999999
50,0.1647235526666666
51,0.12836288600000006
52,0.11977488600000005
53,0.21717088599999992
54,0.15528188601333337
55,0.17706355268000004
56,0.14504255270666674
57,0.1387452193333334
58,0.15528121935999997
59,0.1748168860266666
60,0.13482521934666675
61,0.13974555268000002
62,0.1362282193466667
63,0.133774886
64,0.1456072193333333
65,0.13879088600000003
66,0.13185021933333338
67,0.15415021933333337
68,0.13748188600000005
69,0.21267021933333333
70,0.22905155266666674
71,0.21713055266666673
72,0.2330202193333331
73,0.19233055266666668
74,0.1747048860000001
75,0.1857502193333333
76,0.2374508860000001
77,0.24329321933333348
78,0.2245182193333333
79,0.2400308860000001
80,0.2263788860000001
81,0.26025788599999977
82,0.17181055266666695
83,0.23027555266666672
84,0.153216886
85,0.12805988599999993
86,0.14947555266666654
87,0.21093621933333345
88,0.19971321933333347
89,0.20942688600000012
90,0.1955505526666667
91,0.21529521934666676
92,0.16809488600000014
93,0.18963555266666685
94,0.1928272193333336
95,0.20189521933333354
96,0.19109155266666658
97,0.21554921933333357
98,0.18933788599999998
99,0.17143088599999992
100,0.23962221934666667
101,0.15491588601333334
102,0.1529735526666668
103,0.11977088600000006
104,0.11542855266666663
105,0.13244721934666662
106,0.12164021936000002
107,0.11604788599999999
108,0.13975588601333336
109,0.15234088601333334
